time,open,high,low,close,Volume,RSI,MACD Line,Signal Line,Histogram,BB Upper Band,BB Basis,BB Lower Band,Simple Moving Average
1574827200,146,146,146,146,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1574841600,125.03,146.92,125.03,146.58,11912.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1574856000,146.53,151.64,145.73,150.65,34852.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1574870400,150.72,155.5,148.33,153.87,35085.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1574884800,153.84,155.66,152.03,152.52,34061.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1574899200,154.29,156.52,146.41,152.03,8444.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1574913600,151.93,153.02,150.18,151.98,21326.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1574928000,152.04,152.76,149.63,151.43,21703.695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1574942400,151.43,154.51,149.95,153.78,21262.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1574956800,153.78,153.95,152.46,153.5,21446.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1574971200,153.54,154,148.88,150.48,22640.675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1574985600,150.56,152.67,150.55,152.15,17929.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1575000000,152.15,152.68,150.89,152.51,20243.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1575014400,152.51,155.13,152.06,153.26,24078.723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1575028800,153.26,156.93,151.09,156.65,40608.114,74.06235878897422,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1575043200,156.7,157.4,153.92,154.09,33131.791,65.85788025839952,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1575057600,154.1,154.93,152.09,154.41,31914.516,66.359540927843,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1575072000,154.4,155.15,153.08,153.88,46819.606,64.66481989595448,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1575086400,153.82,154.83,152.68,154.64,54528.966,66.00550221475075,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1575100800,154.65,154.8,152.54,152.68,73037.646,59.71311470780578,NaN,NaN,NaN,157.2767575105333,152.3545,147.43224248946672,NaN
1575115200,152.66,153.51,150.38,151.46,66422.748,56.126445672135894,NaN,NaN,NaN,156.6293239591467,152.6275,148.6256760408533,NaN
